Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Method,"com.lprevidente.ddd_example.team.domain.TeamNameTest.shouldRejectBlankOrNull",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,10,1,9,2,6,0,3,2,3,1,2,1,,,0,,,0.00,3
Lambda Method,"com.lprevidente.ddd_example.team.domain.TeamNameTest.shouldRejectBlankOrNull.(lambda_expr_1)",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0,1,,,0,,,0.00,1
Lambda Method,"com.lprevidente.ddd_example.team.domain.TeamNameTest.shouldRejectBlankOrNull.(lambda_expr_2)",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0,1,,,0,,,0.00,1
Class,"com.lprevidente.ddd_example.team.domain.TeamTest",8,1,7,0,1,,,,,1,3,3,0,,0,0,,,,5,0,5,5,5,0,0,0,,46,8,37,18,20,1,,20,26,13,20,,1,1,0,0,0,0.03,6
Method,"com.lprevidente.ddd_example.team.domain.TeamTest.createdAtMustRemainImmutable",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,7,0,7,4,4,0,4,4,5,3,4,1,,,0,,,0.00,1
Method,"com.lprevidente.ddd_example.team.domain.TeamTest.equalityDependsOnlyOnId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,13,2,10,5,7,1,7,7,8,4,7,1,,,0,,,0.10,1
Method,"com.lprevidente.ddd_example.team.domain.TeamTest.shouldCreateTeamWithValidName",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,9,1,8,3,5,0,13,5,6,2,5,1,,,0,,,0.00,1
Method,"com.lprevidente.ddd_example.team.domain.TeamTest.shouldFailWhenNameIsBlank",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,2,1,1,1,,,0,,,0.00,2
Lambda Method,"com.lprevidente.ddd_example.team.domain.TeamTest.shouldFailWhenNameIsBlank.(lambda_expr_1)",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,2,0,0,0,0,1,,,0,,,0.00,1
Method,"com.lprevidente.ddd_example.team.domain.TeamTest.shouldRenameTeam",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,6,0,6,3,3,0,4,3,4,2,3,1,,,0,,,0.00,1
Public Interface,"com.lprevidente.ddd_example.team.domain.Teams",0,0,0,0,0,,,,,1,3,3,0,,0,0,,,,1,0,1,1,1,0,0,0,,5,0,5,4,0,0,,1,2,2,0,,0,2,0,0,0,0.00,0
Abstract Generic Method,"com.lprevidente.ddd_example.team.domain.Teams.findAllBy",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1,0,0,,,0,,,0.00,0
Generic Parameter,"com.lprevidente.ddd_example.team.domain.Teams.findAllBy.T",0,0,0,0,0,,,,,1,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,,0
Public Record,"com.lprevidente.ddd_example.team.domain.UserId",3,0,3,0,1,,,,,3,4,4,0,,0,0,,,,1,1,1,2,0,0,0,1,,6,1,5,2,1,0,,1,3,2,1,,1,1,0,100,100,0.00,1
Public Constructor,"com.lprevidente.ddd_example.team.domain.UserId.UserId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Package,"com.lprevidente.ddd_example.team.domain.event",0,0,0,0,1,,,,,,,,,1,0,0,,1,,1,1,1,,0,0,0,1,,5,2,3,3,0,0,,2,3,3,0,,1,,0,,,0.00,1
Public Record,"com.lprevidente.ddd_example.team.domain.event.TeamCreated",0,0,0,0,1,,,,,1,1,1,0,,0,0,,,,1,1,1,2,0,0,0,1,,1,0,1,1,0,0,,0,1,1,0,,1,1,0,100,100,0.00,1
Public Constructor,"com.lprevidente.ddd_example.team.domain.event.TeamCreated",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,1,,,0,,,0.00,1
Package,"com.lprevidente.ddd_example.team.domain.exception",6,0,6,0,1,,,,,,,,,2,1,0,,2,,2,0,3,,0,1,0,2,,40,8,29,13,11,3,,11,16,13,3,,1,,0,,,0.10,3
Public Class,"com.lprevidente.ddd_example.team.domain.exception.TeamMemberNotFoundException",5,0,5,0,1,,,,,1,3,3,0,,1,0,,,,1,0,2,7,0,1,0,1,,17,3,12,3,6,2,,2,5,3,2,,1,3,0,0,0,0.17,2
Public Constructor,"com.lprevidente.ddd_example.team.domain.exception.TeamMemberNotFoundException.TeamMemberNotFoundException",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,3,1,2,1,1,1,,,0,,,0.00,1
Private Static Method,"com.lprevidente.ddd_example.team.domain.exception.TeamMemberNotFoundException.buildMessage",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,5,1,2,1,1,1,,,0,,,0.00,1
Public Class,"com.lprevidente.ddd_example.team.domain.exception.TeamNotFoundException",7,0,7,0,1,,,,,1,2,2,0,,0,0,,,,1,0,1,6,0,0,0,1,,11,1,9,2,5,1,,1,3,2,1,,1,3,0,0,0,0.11,1
Public Constructor,"com.lprevidente.ddd_example.team.domain.exception.TeamNotFoundException.TeamNotFoundException",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,7,0,7,1,5,0,4,1,2,1,1,1,,,0,,,0.00,1
Package,"com.lprevidente.ddd_example.team.infrastructure",5,0,5,0,1,,,,,,,,,2,0,0,,2,,6,4,6,,0,0,0,6,,79,12,67,53,6,0,,35,43,37,6,,1,,0,,,0.00,6
Class,"com.lprevidente.ddd_example.team.infrastructure.TeamController",5,0,5,0,1,,,,,1,17,17,0,,0,0,,,,3,2,3,3,0,0,0,3,,25,4,21,14,3,0,,5,9,6,3,,1,1,0,50,50,0.00,3
Public Method,"com.lprevidente.ddd_example.team.infrastructure.TeamController.createTeam",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,5,0,5,3,1,0,2,1,2,1,1,1,,,0,,,0.00,1
